"Data Source","World Development Indicators",

"Last Updated Date","2020-03-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Botswana","BWA","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","72322792.6973461","96693342.4073336","146934800.286139","261115114.418418","334034873.363843","236697667.919941","276051668.358379","376231972.485413","453826973.721029","758347205.623902","1161484390.41992","2012954545.81566","2217139522.95084","2790999075.617","3331456029.64818","3718662683.63158","3793418942.07103","4097336692.1388","4401465617.84401","4695481047.02049","5027655243.07193","5675003355.80286","5940671350.99934","6228827033.43851","6318214000.31791","5897250157.19176","5473918813.89759","5339775869.80523","5661431014.73493","6309056417.68859","7992391904.99401","9789741087.58999","9118641527.54695","8703960321.12573","7885215351.92874","8081885901.07054","7627972585.34516","7726052459.97927","8322776203.08769","7546144960.24368","7188821774.82296","7490512373.36878","6656913637.84624","",
"Central African Republic","CAF","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","10163000","6423000","4753000","4697251.47394066","1196210.62112778","1388412.39131575","210643.188787423","1718494.97339513","1782983.55184932","1743214.00246234","3828943.42404235","18828693.5356935","25350849.6377115","24133787.534211","44109233.1867309","54977856.5106728","69274239.525873","46369871.9311706","46791920.7951517","52675756.8305507","49623526.2512816","65354561.8505149","96726830.8073462","108473754.27375","113064472.061588","118625894.284403","102976440.375109","100122524.263413","111980375.16455","210012402.451393","233643036.950278","232235422.396851","178557487.579438","145701793.058766","136278090.955047","133258424.942757","118751467.687419","123238811.133007","132411282.220033","148322507.517304","139216011.427183","125347018.91154","82591571.620971","121789662.48142","210590013.326623","181175454.945794","154510967.212474","157902473.531176","193663724.475369","259571697.529109","213800567.288047","239797985.500412","362717270.49893","361797180.317651","",
"Canada","CAN","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","1112520000","1345840000","1852000000","1796100000","1863800000","1886100000","1656270000","1701990000","2182700000","2233990000","3888290000","4839011900.29294","5215740709.8943","4841436185.41762","4884633009.82423","4426225348.50907","4964359764.03465","3671868448.27434","3557136041.94903","2864351489.21309","3092942431.74278","3537478704.95656","3011047345.85292","3466462127.12607","2491295478.04879","2502701669.59578","3251239434.63848","7277355391.62139","15390642873.8679","16055317354.8506","17845377647.2095","16252483191.0055","11431362685.1101","12481075078.8433","12285589028.0773","15048997523.5162","20422423999.7584","17822651408.8878","23307487320.0369","28126386617.4575","32102319496.4522","33961817467.5387","36984083073.6644","36222100799.3034","34428643087.8754","32962124276.077","34993800647.1937","40991230028.8237","43777513813.9077","54237792266.8962","56997958271.2186","65652106667.1989","68364967361.9693","71821453415.7952","74584186252.5789","79695445869.8993","82718110857.6299","86677706696.7064","83925602808.0082","",
"Central Europe and the Baltics","CEB","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","139000000","199000000","252000000","302000000","596000000","402000000","704000000","607000000","1669000000","1783000000","2401000000","3808000000","4399000000","5007000000","5446000000","7019116012.37985","9606457878.13602","10289219863.5577","17762860392.9256","16434885352.9434","15656431498.0084","13979299509.3492","15460464331.5935","15034107994.2199","15296154775.6694","18016361159.9297","21786387068.3645","27476389479.2095","24202796288.571","25276271716.5611","29222863680.9833","29004274385.2723","33254855555.7083","32635341397.7515","34729419300.3534","36413013755.9311","38432589676.6327","39028083932.8505","41190732565.4907","36321020362.5903","32272051111.7712","32005587875.5737","40154729324.3713","47652484036.965","55496602484.501","36297267162.6218","38093708498.0653","44474205416.4586","45060945491.3999","98199375892.9957","223480624387.066","279390274873.993","475659218442.027","495957971555.583","505462638049.809","566959697217.434","640594222569.541","767679605225.884","744166803993.725","",
"Channel Islands","CHI","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","66000000","26100000","36000000","33900000","45500000","93600000","126900000","81300000","162000000","296000000","341810000","170072118.822618","96782291.9517749","121586030.521004","41071541.2322734","55901884.7890494","405093225.425629","426484043.615937","1090091008.20356","1938341156.19323","3123220480.6848","3213342780.09864","1814983046.44886","2036312762.39901","2303197858.25336","2449907557.11775","2351295711.47236","2504229065.52795","3160513762.43086","3628564601.67687","6068481633.49504","7041272432.73398","9167660002.47501","9640284277.16877","13087583380.9487","14139810430.9617","14972572873.552","17573233312.1411","15869277685.6304","14616560436.651","15034915691.0232","14379002580.6192","15341120166.6232","15839589419.0005","15993797155.2013","16929244990.4239","19391964976.6216","16836810886.3296","23072358488.8107","25283487780.7077","27816347186.1978","41931795084.8962","41636110637.5881","41083736988.759","40437851651.6687","38632802606.0315","40484241119.5297","38971297403.7984","39848699139.8114","",
"China","CHN","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","2545179859.04546","5058089042.8511","11348870473.3587","14986652777.5854","17366033729.6592","12728147188.0492","11452999180.4582","16304946927.8895","18541338805.8296","17959866323.2318","29586161158.6121","43674299103.1198","20620361915.1072","22386849243.5518","52914062884.3961","75376702869.5104","107039425039.4","142762467746.157","149187895723.126","157727874491.999","168277583225.843","215605127617.14","291127828205.212","408150659048.593","614499524349.601","821513849695.566","1068493029869.9","1530281623043.37","1949259953570.11","2416043687067.79","2866079316315.37","3202788473563.49","3331120013773.81","3839547760252.93","3859167962991.09","3345193763888.14","3029775305378.4","3158876947213.04","3091881257199.09","",
"Cote d'Ivoire","CIV","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cameroon","CMR","Total reserves minus gold (current US$)","FI.RES.XGLD.CD","","","","","","26700000","33700000","24350000","40850759.3206133","48085555.7245495","80807414.2236463","73603091.9369789","43637853.5201199","51153204.9737559","78527121.8049495","28827890.0770217","43803725.9182906","42388470.5208038","52283755.7935937","125699582.416779","188859067.764679","85186386.091978","67227048.2138793","159085069.353292","53852789.2347198","132464709.699133","59015510.2763067","63760064.9884915","175846980.853756","79862959.2079299","25542768.9640231","43036802.6697255","20370474.5823243","2450550.99587737","2261049.1525948","3787393.75880212","2772694.40589146","862739.754171427","1290940.51235912","4427829.37723971","211998537.743293","331833074.120412","629663593.823177","639636921.069221","829310338.035234","949379090.908923","1716221504.38996","2906771362.29895","3086808823.64642","3675521655.97273","3642642765.84442","3198717752.7485","3380703262.12093","3471999831.39101","3168216856.18041","3536255065.98645","2225708778.07818","3196791410.74604","3459329760.96426","",
